Author,Axe 1,Axe 2,Axe 3,Axe 4,Axe 5,Axe 6,Axe 7,Axe 8,Axe 9,Axe 10,Axe 11,Axe 12,Axe 13,Axe 14,Axe 15,Axe 16,Axe 17,Axe 18
A.OSTROVSKI,0.09344061329632551,0.008945129519512148,0.11264502940465458,0.03717657928383626,0.008612601907310759,0.10486762778130615,0.29109338093595427,0.0003407387976140428,0.26847376520165983,0.005404736852020532,0.0014052165705783902,0.003772883900006507,0.016239256191995222,0.0038493077880821214,0.002408471578562358,0.03944949746991651,0.001042788878220684,0.0008323746424441928
A.TOLSTOÏ,0.09305047639617532,0.08957698944962234,0.08864295997407859,0.045623637270669995,0.23270468912857653,0.07043766058065315,0.1301555195825644,0.0188620895786608,0.13269240464152124,0.013321492053279881,8.771968305320206e-05,0.02575122571882404,0.0006441780052272422,0.0006436964336479545,0.002415170976089063,0.025540137493356378,0.028512594965930407,0.0013373580680693196
AKSAKOV,0.04462535208080573,0.13900331152579976,0.5692863129377828,0.0001397668622466143,0.00351562844277017,0.04290492168048652,9.469766087767372e-05,0.002846535734841947,0.10085270533971505,0.002709167097304504,0.00018266807196495278,0.08196137789026733,0.003287853449885787,0.001929507126631196,0.003941526730281571,0.00015065975919600295,0.0018851784065310195,0.0006828292026114711
AVVAKUM,0.006280579968179937,0.17919066288334254,0.1615151764170349,0.026294002441932883,0.016716139730947675,0.25904742543113946,0.05978574955770475,0.15236732556967117,0.03558758205681829,0.05614403422469439,0.0007578273906108,0.0029995771253971686,0.000813695998372947,1.489074259437501e-06,0.032672288448132324,0.0028910440303237454,0.0045743610365639046,0.0023610386148736973
AÏTMATOV,0.023436463987167533,0.09579411544740671,0.6945229085946558,0.0004872854970110076,0.0014880942309068916,0.02215061857792675,0.011454821078838212,0.0008910746949663665,0.033334884362063784,0.00904576085768174,0.02551432482097963,0.023239604595105986,0.03032668771754991,0.0027703378324166602,0.0024208761316237204,0.014519998330321797,0.007892359873975498,0.0007097833694018125
BABEL,0.24377426993505738,0.03014302719171273,0.004141115894491985,0.011042705457969555,0.2770074293943121,0.01563128164710275,0.09698908601917011,0.12621946031085615,0.039200074079338544,0.021391767063182632,0.09103083625187777,0.002975215413972655,0.01627976344084526,0.00010184797487575067,0.005583475468762093,0.011286059748510255,0.0010928368553046895,0.006109747852657395
BERGHOLTS,0.8092226237821113,0.01378471559224245,1.6342111267584766e-08,0.0031022654395745845,0.005293779715830745,2.4534529485244897e-05,0.05339371165608079,0.042835905230686526,0.04902310613039648,0.0008151704659797947,0.017268271768449497,0.0005312047630776792,0.0002606466400023316,0.0011101966802218998,0.001228957473779562,0.0003274287619991726,0.0016139798426580423,0.00016348518531250435
BIELY,0.014896272069064981,0.031168155879118396,0.09108231445000521,0.4819553809787242,0.1357640464562186,0.09235791833339856,0.012447745545702035,0.002214215536064506,0.0021711441857683303,0.05257457487276059,0.00030143137301308966,0.052668379766366666,0.005483328415923887,0.007119354943019821,0.010593592542781029,0.0003256615221379013,0.003747519789212768,0.003128963340719407
BLOK,0.03292877443859831,0.10132767857312996,0.23611491837461965,0.12475246749118665,0.0024413559941079375,0.3114353770667206,0.0001019737220134207,0.07760425777812392,0.00037326089603537983,0.007225124152365542,0.0027186855866884016,0.006463294877286591,0.054871973907050925,0.0005243343436556014,0.01993758946033163,0.015416308235273006,0.0011153754093652121,0.004647249693447233
BOUNINE,0.03057340757987592,0.014565897601277689,0.01499774539665198,0.014243042985151461,0.030079899049965615,0.21918182843505993,0.09924611137695537,0.04519764893651929,0.14502892394061068,0.17651927370398093,0.0011980292997755292,0.07013132647284309,0.08420608360800753,0.0021026617106451664,0.02667401249560318,0.003935956515828838,0.022091112538871048,2.703835237665298e-05
CHOLOKHOV,0.16776360872890989,0.01999312842229305,0.008279930191557875,0.00016769142734830128,0.26314668337166214,0.021151744756389063,0.11700838454802527,0.12933035560587014,0.07156028572247299,0.019735811430065444,0.09747673069354339,0.006278161028790686,0.01213796647026429,0.06406575008673958,0.0001283602303411511,0.0017511401658387544,8.400248459922982e-06,1.5866871428244204e-05
DOSTOÏEVSKI,0.14116956547420345,0.07771009841346936,0.017141186536468803,0.006859061079489331,0.11816676382562663,0.13413505170457463,0.0007086584596746927,0.07567813075178105,0.1423060813559481,0.06082797619095939,0.13452993282017123,0.0632974383895806,0.007115885143120388,0.005468356621949846,0.0023623335005539766,0.00043094716633190625,0.010504612233335965,0.0015879203327607925
DOUDINTSEV,0.002528703888967341,0.3218253210410022,0.00047135368345750005,0.043046950131384085,0.11297683320945541,0.0988083974519229,5.666310597242886e-05,0.08669490706454931,0.12387867675222765,0.042587188503635916,0.026673174356816983,0.02787369852342858,0.0014318034393129642,0.05705710367987332,4.061564631897806e-05,0.023219972437862228,0.014367114829872126,0.01646152225394023
FADEÏEV,0.8565137088090504,0.04635622232025465,5.365857775246072e-05,0.00039938076848206673,0.02151303309221207,2.7012980937252407e-06,0.053825232178103664,0.0013186608784325972,0.0013077712290899973,0.011517315017645227,0.0010306106480370669,0.0009079428012172101,4.4473345875858335e-05,0.00019241842271097964,3.5299276752124556e-05,1.4341324817122615e-05,0.003801449287554919,0.0011657807239179706
FEDINE,0.8085517162320114,0.04486202435568666,6.771745132910241e-06,0.0003810888483285921,0.0314383073136758,0.006809893736412755,0.037855538410169295,0.004309672636961162,0.011546544600879196,0.002087433707893973,2.7975177411173204e-05,0.0009419968651092445,0.018817533964701677,0.006906433260861936,0.0048003986242406505,0.01910675670304338,0.001548403870772674,1.5099467074831284e-06
GOGOL,0.023909471664584136,0.03087955193531646,0.007488553190255732,0.0651632137063249,0.15963624777135518,0.0005840428356347296,0.003880832614760058,0.04069229976575213,0.06714616592277126,0.24269293102205267,0.04994700797944083,0.23110694034518556,0.0008247288240503893,0.0007664968724628985,0.020472399087453953,0.016229572948066283,0.03759836375486021,0.0009811797596726197
GONTCHAROV,0.06319188849770702,8.022713691338645e-06,0.2002016988989112,0.11408096413689602,0.012401853251062838,0.009826362604681758,0.25651162967407914,0.15068069500044853,0.030143797812294527,0.0036424961302008517,0.028110499332506898,0.02994017637734441,0.00019381984057611026,0.05580090036673857,0.032131628317047446,0.002498906345991503,0.00037817616326891096,0.010256484536552936
GORKI,0.002120243683672718,0.34094959177871514,0.0037223125486285855,0.0038055082266189536,0.30568345175142136,0.07569056416234358,0.007631197076546672,0.13429377598325154,0.018592344244683198,0.04087403555345996,0.00022768200102419935,0.01030091757954577,0.000551672460994384,0.003205028575004343,2.170683284460627e-05,0.038749346841366064,1.1737941219058553e-05,0.013568882758659811
GRIBOÏEDOV,0.050819947436474486,0.07346200103614892,0.06448786280937888,0.0005250654035174045,0.05141193831543993,0.0927359137093479,0.043176038338570685,0.05288704930924522,0.08800648339292547,0.07017184004975086,0.303807703651301,0.02908570007802926,0.011856321529364002,0.050702427323771095,0.0008260259321508268,0.00452393238143697,0.010075242745065875,0.001438506558081416
GUINZBOURG,0.006290762853691341,0.6838822076071299,0.003035476811856609,0.035683358912501115,0.007648006559897184,0.050527368194202005,0.0025057737758114665,0.0007291424843850631,0.05462083906974512,0.04823048633178883,0.0011327437077167629,0.005887297651480509,0.018157512823393347,0.01713146205240613,0.05719869033949499,0.0062904351658052745,0.0010425265664784488,5.909092215978137e-06
HERZEN,0.05826547345512714,0.14532149654011076,0.21054014646087563,0.07593324885178848,0.004624099886779255,0.331342290264606,0.018950422240824945,0.07688769828661494,0.036069099548276175,0.008071010098324274,0.02090528853922443,0.00953905915127736,0.0025126175756931307,0.0006988915463862715,4.994932666855835e-06,5.4341801352183274e-05,0.00027937975545851964,4.4106461354166795e-07
KOUPRINE,0.02006261080391931,0.002886908592794974,0.0186108359330847,0.054015536621906786,0.03708524988116234,0.18305139828220962,0.02158534352965655,0.03346500655609919,0.023326932286761585,0.1791646009498266,0.0004878450961244173,0.016890671794280335,0.09388424548990157,0.010099751528006597,0.19921420980969112,0.0004173884346896745,0.014326448301830873,0.09142501610805352
KOUZNETSOV,0.022688348351013955,0.005801101018267206,0.00753582483509092,0.09629101889008423,0.006330443187663591,0.1937504501961787,0.0011076026257411246,0.013490626583502544,0.0028043647659246372,0.04666700602215246,0.008401350192345971,0.02222456170364529,0.1540955015444447,0.21296506825593595,0.0021220916624434803,0.007421893090952761,0.18505198946780216,0.011250757606810276
L.TOLSTOÏ,0.03484303327832647,0.05617173655054748,0.07263184901929134,0.012625733857099612,0.3251164626511047,0.07583878269833304,0.020880756097088313,0.1015817452020785,0.082405417130654,0.040095778330131546,0.0021626734704821115,0.04957617525958738,0.002040659337420045,0.09514648966408938,0.0023970487032719335,0.009715536513021457,0.002547371641300845,0.014222750596171984
LEONOV,5.249400103014453e-09,0.05034319346919568,0.022777311017034473,0.041074945731295096,0.4602875287066335,0.026075101156144302,0.0746408346060159,0.031571644605978215,0.020212882496895714,0.00330974545915729,0.0009745294185739816,0.018476573189264694,0.0010996032812828664,0.17015632344710444,0.01405618042252657,0.045559393443732624,0.010632507913829557,0.008751696385934944
LESKOV,0.08375810646902815,0.017795349791992963,0.09617420726542183,0.045678708072688645,0.001536834148053937,0.006830276675228301,0.3470750611616406,0.08040112710408935,0.019724000210977827,0.05030031511754526,0.009190113288416608,0.016540996698882152,0.1928399483508053,0.02127246233242629,0.00020433712781734034,0.009732875486587604,0.0004682668473726246,0.0004770138510252229
