Theme,Axe 1,Axe 2,Axe 3,Axe 4,Axe 5,Axe 6,Axe 7,Axe 8,Axe 9,Axe 10,Axe 11,Axe 12,Axe 13,Axe 14,Axe 15,Axe 16,Axe 17,Axe 18
Amour,0.02842383918346588,0.0001932865292515346,0.001265220811652411,4.21390056063606e-06,0.03996281979285512,0.22566488240243313,0.03998364643289201,0.023523352268462167,0.11450831603586856,0.06677123704228648,0.02382994268595022,0.05432388899936813,0.17368104758843783,0.042697384548783426,0.025283993388366295,0.10210912624999814,0.034795564906169536,0.002978237233198745
Apprentissage,0.0030325343914479157,0.09333600505190025,0.5590440577989869,0.00497423533758375,0.00033033032414880436,0.02071126996827648,0.11973091447953134,0.15535877768205963,0.0006409330136483917,8.831431295965383e-06,0.006636804237890535,0.020394004150880496,0.010389748120018,0.0009869552496517778,5.804234068904743e-05,3.496846454459781e-05,0.0023840458447271337,0.0019475421127189984
Argent,0.06842726361864189,0.05486468820599807,0.0028606278301758045,0.025195226267234517,0.0026776968835263994,0.12264229970888939,0.08189256981970924,0.1912543351667204,0.24211520301707457,0.00044767048566926864,0.0358276811917876,0.0840084323783096,0.0024387685777578724,0.02607415299466136,0.0015348262133267011,0.05609167128681192,0.0001489238490563511,0.001497962504649118
Bonheur,0.004223384695900073,0.02784376055967964,0.08725400436437997,0.014527416281498711,0.15274822383390568,0.02088532211469849,0.027291710587163526,0.13424956149456357,0.018941570035103463,0.1440255978351296,0.12125791241737886,0.07625945371419268,6.802448139229037e-05,0.0646651753542601,0.05648775833379415,0.0487326199957737,0.00014430523334331207,0.00039419866784212655
Fantastique,0.021240397627317095,0.009171508094074006,0.035783197191565135,0.684177163465525,0.006472360166950717,0.018407855891586465,0.012208974192087906,1.610635452607644e-05,0.00099922612380541,0.020760522458855644,0.11599163840510339,0.0012535023622281683,0.003138780972491713,0.055835881925194404,2.7955999834445772e-05,0.001999030624447754,0.009989663267974118,0.0025262348764323933
Femme,0.09073798809481459,0.017768977242784947,0.022035170698002794,0.22130330596070039,0.01257573436723745,0.33599574828865325,0.001758357688067321,0.018183127361457906,0.0031515250169405267,0.042422041967529626,0.007299783546008198,0.016540396443029477,0.07894910587139262,0.09508785366627978,0.0006714121427661013,0.0018903174042581657,0.0320478694221083,0.00158128481796836
Guerre,0.8098173565225598,0.03860547255202816,0.0009584408480718859,8.403476501571798e-06,0.004971869165297595,0.007761380170465974,0.03153025457039753,0.011188313362189997,0.018851384015649154,0.0016860549777250552,0.019261979021217027,0.00107183667571906,0.018878349876476727,0.001566795552658136,0.005096883307609376,0.008523781819151723,0.008285392798534156,0.01193605128774709
Intelligentsia,0.031268419227573147,0.10302527071271723,0.24090943561007447,0.27115544974052697,0.01986192311300481,0.14000670726860215,0.0103526403127102,0.02596067866993052,0.024540447207985743,0.0053249366718699275,0.08629209973326599,0.03138629935871,2.76660863687263e-05,0.004673556290485259,0.0008099438624887669,0.0032707812497251533,0.0003214746596192395,0.0008122702243415461
Liberté,0.0005930312837501775,0.20470791358748944,0.011434131466980716,0.10292947787616774,0.25698741741739095,0.038623128474355915,0.05531514258656454,0.005898399675719023,0.025138761578283472,0.12199726808890184,0.015399753773816855,0.051164580362776435,0.002743958148920789,0.0003851865620238724,0.07037087502244573,0.005672166578703236,0.030104224489020174,0.0005345830266889899
Mort,0.02843303313973358,0.0010546780531915402,0.04375828992069961,0.02021239201080242,0.19752131317518562,0.12191319116212673,0.07768756391233426,0.03634946788743017,0.031783550575141824,0.15821638774328725,0.0010622139722786057,0.0036148352100706838,0.009381230193762134,0.09486841402051113,0.10213708945551135,0.0019856958069460495,0.037396364553229665,0.03262428920775732
