Theme,Distance au centre d2
Amour,0.4202259445670753
Apprentissage,8.346409992568464
Argent,2.2849338946624007
Bonheur,2.780466357235325
Fantastique,10.654017857142854
Femme,0.747979571124516
Guerre,4.738969404186787
Intelligentsia,5.886357130076936
Liberté,5.134612105711851
Mort,1.5016514263710807
Nature,3.986920936853002
Noblesse,2.2452373025361427
Occident,3.9090992811509997
Patrie,14.528115942028967
Révolution,3.8260607315389956
Société,5.772166666666666
Souffrance,7.574949979991991
Traditions,4.607603663446058
Ville,3.5518312915228205
