Works,Author,Birth,Death,Period,Composed,When,Name,CutOff,Amour,Apprentissage,Argent,Armée,Art,Bonheur,Campagne,Camps,Capitalisme,Communisme,Cosaques,Délire-Folie,Dieu,Education,Ennui,Fantastique,Femme,Fonctionnaires,Guerre,Héros,Honneur,Humanisme,Humiliation,Hypocrisie,Individu,Intelligentsia,Jalousie,Jeu,Justice,Liberté,Mal,Marchands,Mariage,Médiocrité,Misère,Mort,Nation,Nature,Nihilisme,Noblesse,Occident,Orgueil,Paresse,Patrie,Paysans,Peuple,Province,Religion,Pouvoir,Responsabilité,Rêve,Révolte,Remords,Révolution,Russie,Servage,Socialisme,Société,Solitude,Souffrance,Traditions,Travail,Vagabondage,Ville,Violence
Et l'Acier fut trempé,N.OSTROVSKI,1904,1936,[1900-1950[,1933,[1917-1953[,"révolution, guerre civile, stalinisme",>1917,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L'Adolescent,DOSTOÏEVSKI,1821,1881,[1850-1900[,1875,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L'Affaire des Artamonov,GORKI,1818,1936,[1900-1950[,1925,[1917-1953[,"révolution, guerre civile, stalinisme",>1917,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Les Ames mortes,GOGOL,1811,1852,[1850-1900[,1839,[1800-1850[,première moitié du XIXe siècle,<=1917,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Anna Karénine,L.TOLSTOÏ,1828,1910,[1900-1950[,1875,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Les Lointaines années,PAOUSTOVSKI,1892,1968,[1950-2000[,1946,[1917-1953[,"révolution, guerre civile, stalinisme",>1917,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Août Quatorze,SOLJENITSYNE,1918,2008,>2000,1970,[1953-1991[,période soviétique post-stalinienne,>1917,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
À qui la faute?,HERZEN,1812,1870,[1850-1900[,1844,[1800-1850[,première moitié du XIXe siècle,<=1917,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Babi Iar,KOUZNETSOV,1929,1979,[1950-2000[,1969,[1953-1991[,période soviétique post-stalinienne,>1917,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Une Banale histoire,TCHEKHOV,1860,1904,[1900-1950[,1889,[1850-1905[,"grand XIXe siècle, réalisme, monde impérial tardif",<=1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
